start_day;end_day;header;temperature;yeey
2016-04-01 00:00:01;2016-04-02 00:00:00;2016-04-01;3.1;Y
2016-04-02 00:00:01;2016-04-03 00:00:00;2016-04-02;3.8;Y
2016-04-03 00:00:01;2016-04-04 00:00:00;2016-04-03;6.0;Y
2016-04-04 00:00:01;2016-04-05 00:00:00;2016-04-04;7.8;Y
2016-04-05 00:00:01;2016-04-06 00:00:00;2016-04-05;6.6;Y
2016-04-06 00:00:01;2016-04-07 00:00:00;2016-04-06;6.3;Y
2016-04-07 00:00:01;2016-04-08 00:00:00;2016-04-07;5.0;Y
2016-04-08 00:00:01;2016-04-09 00:00:00;2016-04-08;4.2;Y
2016-04-09 00:00:01;2016-04-10 00:00:00;2016-04-09;5.2;Y
2016-04-10 00:00:01;2016-04-11 00:00:00;2016-04-10;5.1;Y
2016-04-11 00:00:01;2016-04-12 00:00:00;2016-04-11;7.1;Y
2016-04-12 00:00:01;2016-04-13 00:00:00;2016-04-12;6.2;Y
2016-04-13 00:00:01;2016-04-14 00:00:00;2016-04-13;6.4;Y
2016-04-14 00:00:01;2016-04-15 00:00:00;2016-04-14;5.0;Y
2016-04-15 00:00:01;2016-04-16 00:00:00;2016-04-15;4.7;Y
2016-04-16 00:00:01;2016-04-17 00:00:00;2016-04-16;6.5;Y
2016-04-17 00:00:01;2016-04-18 00:00:00;2016-04-17;6.4;Y
2016-04-18 00:00:01;2016-04-19 00:00:00;2016-04-18;5.9;Y
2016-04-19 00:00:01;2016-04-20 00:00:00;2016-04-19;6.1;Y
2016-04-20 00:00:01;2016-04-21 00:00:00;2016-04-20;7.6;Y
2016-04-21 00:00:01;2016-04-22 00:00:00;2016-04-21;8.5;Y
2016-04-22 00:00:01;2016-04-23 00:00:00;2016-04-22;5.8;Y
2016-04-23 00:00:01;2016-04-24 00:00:00;2016-04-23;2.8;Y
2016-04-24 00:00:01;2016-04-25 00:00:00;2016-04-24;1.7;Y
2016-04-25 00:00:01;2016-04-26 00:00:00;2016-04-25;2.7;Y
2016-04-26 00:00:01;2016-04-27 00:00:00;2016-04-26;4.0;Y
2016-04-27 00:00:01;2016-04-28 00:00:00;2016-04-27;3.3;Y
2016-04-28 00:00:01;2016-04-29 00:00:00;2016-04-28;3.5;Y
2016-04-29 00:00:01;2016-04-30 00:00:00;2016-04-29;5.8;Y
2016-04-30 00:00:01;2016-05-01 00:00:00;2016-04-30;9.6;Y
2016-05-01 00:00:01;2016-05-02 00:00:00;2016-05-01;8.0;Y
2016-05-02 00:00:01;2016-05-03 00:00:00;2016-05-02;7.5;Y
2016-05-03 00:00:01;2016-05-04 00:00:00;2016-05-03;10.1;Y
2016-05-04 00:00:01;2016-05-05 00:00:00;2016-05-04;10.6;Y
2016-05-05 00:00:01;2016-05-06 00:00:00;2016-05-05;9.4;Y
2016-05-06 00:00:01;2016-05-07 00:00:00;2016-05-06;10.3;Y
2016-05-07 00:00:01;2016-05-08 00:00:00;2016-05-07;13.1;Y
2016-05-08 00:00:01;2016-05-09 00:00:00;2016-05-08;15.0;Y
2016-05-09 00:00:01;2016-05-10 00:00:00;2016-05-09;16.0;Y
2016-05-10 00:00:01;2016-05-11 00:00:00;2016-05-10;16.8;Y
2016-05-11 00:00:01;2016-05-12 00:00:00;2016-05-11;13.5;Y
2016-05-12 00:00:01;2016-05-13 00:00:00;2016-05-12;12.2;Y
2016-05-13 00:00:01;2016-05-14 00:00:00;2016-05-13;7.0;Y
2016-05-14 00:00:01;2016-05-15 00:00:00;2016-05-14;5.8;Y
2016-05-15 00:00:01;2016-05-16 00:00:00;2016-05-15;8.7;Y
2016-05-16 00:00:01;2016-05-17 00:00:00;2016-05-16;7.6;Y
2016-05-17 00:00:01;2016-05-18 00:00:00;2016-05-17;10.0;Y
2016-05-18 00:00:01;2016-05-19 00:00:00;2016-05-18;10.5;Y
2016-05-19 00:00:01;2016-05-20 00:00:00;2016-05-19;12.7;Y
2016-05-20 00:00:01;2016-05-21 00:00:00;2016-05-20;10.9;Y
2016-05-21 00:00:01;2016-05-22 00:00:00;2016-05-21;11.8;Y
2016-05-22 00:00:01;2016-05-23 00:00:00;2016-05-22;14.4;Y
2016-05-23 00:00:01;2016-05-24 00:00:00;2016-05-23;17.2;Y
2016-05-24 00:00:01;2016-05-25 00:00:00;2016-05-24;11.5;Y
2016-05-25 00:00:01;2016-05-26 00:00:00;2016-05-25;11.4;Y
2016-05-26 00:00:01;2016-05-27 00:00:00;2016-05-26;10.4;Y
2016-05-27 00:00:01;2016-05-28 00:00:00;2016-05-27;11.9;Y
2016-05-28 00:00:01;2016-05-29 00:00:00;2016-05-28;13.6;Y
2016-05-29 00:00:01;2016-05-30 00:00:00;2016-05-29;12.9;Y
2016-05-30 00:00:01;2016-05-31 00:00:00;2016-05-30;16.5;Y
2016-05-31 00:00:01;2016-06-01 00:00:00;2016-05-31;19.6;Y
2016-06-01 00:00:01;2016-06-02 00:00:00;2016-06-01;20.9;Y
2016-06-02 00:00:01;2016-06-03 00:00:00;2016-06-02;21.1;Y
2016-06-03 00:00:01;2016-06-04 00:00:00;2016-06-03;20.9;Y
2016-06-04 00:00:01;2016-06-05 00:00:00;2016-06-04;17.1;Y
2016-06-05 00:00:01;2016-06-06 00:00:00;2016-06-05;13.7;Y
2016-06-06 00:00:01;2016-06-07 00:00:00;2016-06-06;14.7;Y
2016-06-07 00:00:01;2016-06-08 00:00:00;2016-06-07;17.0;Y
2016-06-08 00:00:01;2016-06-09 00:00:00;2016-06-08;13.8;Y
2016-06-09 00:00:01;2016-06-10 00:00:00;2016-06-09;10.9;Y
2016-06-10 00:00:01;2016-06-11 00:00:00;2016-06-10;10.0;Y
2016-06-11 00:00:01;2016-06-12 00:00:00;2016-06-11;10.5;Y
2016-06-12 00:00:01;2016-06-13 00:00:00;2016-06-12;12.5;Y
2016-06-13 00:00:01;2016-06-14 00:00:00;2016-06-13;15.1;Y
2016-06-14 00:00:01;2016-06-15 00:00:00;2016-06-14;15.0;Y
2016-06-15 00:00:01;2016-06-16 00:00:00;2016-06-15;15.3;Y
2016-06-16 00:00:01;2016-06-17 00:00:00;2016-06-16;17.4;Y
2016-06-17 00:00:01;2016-06-18 00:00:00;2016-06-17;16.2;Y
2016-06-18 00:00:01;2016-06-19 00:00:00;2016-06-18;16.7;Y
2016-06-19 00:00:01;2016-06-20 00:00:00;2016-06-19;13.0;Y
2016-06-20 00:00:01;2016-06-21 00:00:00;2016-06-20;12.8;Y
2016-06-21 00:00:01;2016-06-22 00:00:00;2016-06-21;15.8;Y
2016-06-22 00:00:01;2016-06-23 00:00:00;2016-06-22;15.8;Y
2016-06-23 00:00:01;2016-06-24 00:00:00;2016-06-23;16.8;Y
2016-06-24 00:00:01;2016-06-25 00:00:00;2016-06-24;18.1;Y
2016-06-25 00:00:01;2016-06-26 00:00:00;2016-06-25;18.5;Y
2016-06-26 00:00:01;2016-06-27 00:00:00;2016-06-26;17.7;Y
2016-06-27 00:00:01;2016-06-28 00:00:00;2016-06-27;14.6;Y
2016-06-28 00:00:01;2016-06-29 00:00:00;2016-06-28;16.7;Y
2016-06-29 00:00:01;2016-06-30 00:00:00;2016-06-29;15.3;Y
2016-06-30 00:00:01;2016-07-01 00:00:00;2016-06-30;14.6;Y
2016-07-01 00:00:01;2016-07-02 00:00:00;2016-07-01;13.6;Y
2016-07-02 00:00:01;2016-07-03 00:00:00;2016-07-02;15.6;Y
2016-07-03 00:00:01;2016-07-04 00:00:00;2016-07-03;13.2;Y
2016-07-04 00:00:01;2016-07-05 00:00:00;2016-07-04;12.8;Y
2016-07-05 00:00:01;2016-07-06 00:00:00;2016-07-05;15.3;Y
2016-07-06 00:00:01;2016-07-07 00:00:00;2016-07-06;16.2;Y
2016-07-07 00:00:01;2016-07-08 00:00:00;2016-07-07;15.5;Y
2016-07-08 00:00:01;2016-07-09 00:00:00;2016-07-08;16.5;Y
2016-07-09 00:00:01;2016-07-10 00:00:00;2016-07-09;16.5;Y
2016-07-10 00:00:01;2016-07-11 00:00:00;2016-07-10;16.2;Y
2016-07-11 00:00:01;2016-07-12 00:00:00;2016-07-11;17.1;Y
2016-07-12 00:00:01;2016-07-13 00:00:00;2016-07-12;16.2;Y
2016-07-13 00:00:01;2016-07-14 00:00:00;2016-07-13;15.6;Y
2016-07-14 00:00:01;2016-07-15 00:00:00;2016-07-14;16.7;Y
2016-07-15 00:00:01;2016-07-16 00:00:00;2016-07-15;17.4;Y
2016-07-16 00:00:01;2016-07-17 00:00:00;2016-07-16;16.1;Y
2016-07-17 00:00:01;2016-07-18 00:00:00;2016-07-17;15.8;Y
2016-07-18 00:00:01;2016-07-19 00:00:00;2016-07-18;14.8;Y
2016-07-19 00:00:01;2016-07-20 00:00:00;2016-07-19;16.0;Y
2016-07-20 00:00:01;2016-07-21 00:00:00;2016-07-20;19.3;Y
2016-07-21 00:00:01;2016-07-22 00:00:00;2016-07-21;20.4;Y
2016-07-22 00:00:01;2016-07-23 00:00:00;2016-07-22;20.7;Y
2016-07-23 00:00:01;2016-07-24 00:00:00;2016-07-23;20.5;Y
2016-07-24 00:00:01;2016-07-25 00:00:00;2016-07-24;21.9;Y
2016-07-25 00:00:01;2016-07-26 00:00:00;2016-07-25;21.8;Y
2016-07-26 00:00:01;2016-07-27 00:00:00;2016-07-26;19.2;Y
2016-07-27 00:00:01;2016-07-28 00:00:00;2016-07-27;17.2;Y
2016-07-28 00:00:01;2016-07-29 00:00:00;2016-07-28;18.5;Y
2016-07-29 00:00:01;2016-07-30 00:00:00;2016-07-29;16.7;Y
2016-07-30 00:00:01;2016-07-31 00:00:00;2016-07-30;17.4;Y
2016-07-31 00:00:01;2016-08-01 00:00:00;2016-07-31;16.0;Y
2016-08-01 00:00:01;2016-08-02 00:00:00;2016-08-01;15.4;Y
2016-08-02 00:00:01;2016-08-03 00:00:00;2016-08-02;14.5;Y
2016-08-03 00:00:01;2016-08-04 00:00:00;2016-08-03;15.1;Y
2016-08-04 00:00:01;2016-08-05 00:00:00;2016-08-04;16.3;Y
2016-08-05 00:00:01;2016-08-06 00:00:00;2016-08-05;16.2;Y
2016-08-06 00:00:01;2016-08-07 00:00:00;2016-08-06;15.9;Y
2016-08-07 00:00:01;2016-08-08 00:00:00;2016-08-07;15.5;Y
2016-08-08 00:00:01;2016-08-09 00:00:00;2016-08-08;15.4;Y
2016-08-09 00:00:01;2016-08-10 00:00:00;2016-08-09;13.8;Y
2016-08-10 00:00:01;2016-08-11 00:00:00;2016-08-10;10.1;Y
2016-08-11 00:00:01;2016-08-12 00:00:00;2016-08-11;11.3;Y
2016-08-12 00:00:01;2016-08-13 00:00:00;2016-08-12;11.1;Y
2016-08-13 00:00:01;2016-08-14 00:00:00;2016-08-13;17.1;Y
2016-08-14 00:00:01;2016-08-15 00:00:00;2016-08-14;15.8;Y
2016-08-15 00:00:01;2016-08-16 00:00:00;2016-08-15;14.4;Y
2016-08-16 00:00:01;2016-08-17 00:00:00;2016-08-16;16.4;Y
2016-08-17 00:00:01;2016-08-18 00:00:00;2016-08-17;15.2;Y
2016-08-18 00:00:01;2016-08-19 00:00:00;2016-08-18;16.4;Y
2016-08-19 00:00:01;2016-08-20 00:00:00;2016-08-19;15.1;Y
2016-08-20 00:00:01;2016-08-21 00:00:00;2016-08-20;15.3;Y
2016-08-21 00:00:01;2016-08-22 00:00:00;2016-08-21;16.4;Y
2016-08-22 00:00:01;2016-08-23 00:00:00;2016-08-22;14.6;Y
2016-08-23 00:00:01;2016-08-24 00:00:00;2016-08-23;14.7;Y
2016-08-24 00:00:01;2016-08-25 00:00:00;2016-08-24;14.5;Y
2016-08-25 00:00:01;2016-08-26 00:00:00;2016-08-25;16.5;Y
2016-08-26 00:00:01;2016-08-27 00:00:00;2016-08-26;19.1;Y
2016-08-27 00:00:01;2016-08-28 00:00:00;2016-08-27;16.6;Y
2016-08-28 00:00:01;2016-08-29 00:00:00;2016-08-28;10.8;Y
2016-08-29 00:00:01;2016-08-30 00:00:00;2016-08-29;10.2;Y
2016-08-30 00:00:01;2016-08-31 00:00:00;2016-08-30;12.3;Y
2016-08-31 00:00:01;2016-09-01 00:00:00;2016-08-31;15.1;Y
2016-09-01 00:00:01;2016-09-02 00:00:00;2016-09-01;16.5;Y
2016-09-02 00:00:01;2016-09-03 00:00:00;2016-09-02;14.1;Y
2016-09-03 00:00:01;2016-09-04 00:00:00;2016-09-03;15.8;Y
2016-09-04 00:00:01;2016-09-05 00:00:00;2016-09-04;12.5;Y
2016-09-05 00:00:01;2016-09-06 00:00:00;2016-09-05;12.7;Y
2016-09-06 00:00:01;2016-09-07 00:00:00;2016-09-06;15.2;Y
2016-09-07 00:00:01;2016-09-08 00:00:00;2016-09-07;19.3;Y
2016-09-08 00:00:01;2016-09-09 00:00:00;2016-09-08;16.0;Y
2016-09-09 00:00:01;2016-09-10 00:00:00;2016-09-09;15.7;Y
2016-09-10 00:00:01;2016-09-11 00:00:00;2016-09-10;15.5;Y
2016-09-11 00:00:01;2016-09-12 00:00:00;2016-09-11;17.0;Y
2016-09-12 00:00:01;2016-09-13 00:00:00;2016-09-12;12.7;Y
2016-09-13 00:00:01;2016-09-14 00:00:00;2016-09-13;17.1;Y
2016-09-14 00:00:01;2016-09-15 00:00:00;2016-09-14;16.7;Y
2016-09-15 00:00:01;2016-09-16 00:00:00;2016-09-15;15.9;Y
2016-09-16 00:00:01;2016-09-17 00:00:00;2016-09-16;15.1;Y
2016-09-17 00:00:01;2016-09-18 00:00:00;2016-09-17;11.1;Y
2016-09-18 00:00:01;2016-09-19 00:00:00;2016-09-18;13.1;Y
2016-09-19 00:00:01;2016-09-20 00:00:00;2016-09-19;13.7;Y
2016-09-20 00:00:01;2016-09-21 00:00:00;2016-09-20;13.7;Y
2016-09-21 00:00:01;2016-09-22 00:00:00;2016-09-21;14.4;Y
2016-09-22 00:00:01;2016-09-23 00:00:00;2016-09-22;13.0;Y
2016-09-23 00:00:01;2016-09-24 00:00:00;2016-09-23;12.5;Y
2016-09-24 00:00:01;2016-09-25 00:00:00;2016-09-24;10.4;Y
2016-09-25 00:00:01;2016-09-26 00:00:00;2016-09-25;13.6;Y
2016-09-26 00:00:01;2016-09-27 00:00:00;2016-09-26;13.1;Y
2016-09-27 00:00:01;2016-09-28 00:00:00;2016-09-27;12.1;Y
2016-09-28 00:00:01;2016-09-29 00:00:00;2016-09-28;14.2;Y
